2856_Agos|YMD8
2160_Agos|BNA5
5022_Spar|CIN1
3804_Klac|SPG4
5627_Kwal|ADH2
6291_Kwal|YMR317W
148_Ncra|CSP37
5528_Scer|PCL1
7437_Spar|BNR1
1317_Calb|RPS42
9352_Scer|YFL054C
5133_Scer|PET309
516_Spar|AGE1
6983_Scer|RVS161
5531_Sbay|PCL1
3427_Ncra|CDC20
5267_Dhan|RDH54
2823_Smik|HPF1
1763_Scas|HMX1
7289_Clus|VTC3
1316_Ctro|RPS42
953_Kwal|PRE2
981_Kwal|RPL16A
4155_Agos|HMS2
298_Agos|SHM2
9268_Scer|FPS1
8746_Scas|GAL2
1019_Lelo|VPS28
8432_Ctro|ENA5
89_Lelo|TPS3
2770_Ylip|EFB1
7005_Spar|AIM24
2727_Scer|MIP6
278_Cgui|RPS7A
6785_Ncra|RMT2
9093_Cgla|RPS30A
5224_Scer|HMLALPHA1
5675_Cgui|MLH3
2839_Anid|HPF1
